ID;Parameters;Value
1;easy_lambing;0.99
2;proba_abortion;0.02
3;suckling_duration;28
4;synchronization_rate;0.80
5;to_portee_2;0.4
6;prod_min;0.4
7;shelamb_initial_milk_prod_mean;2.5
8;ewe_initial_milk_prod_mean;3.0
9;proba_hp;0.02
10;culling_age;1
11;proba_AI_sucess;0.70
12;turnover_rate;0.23
13;first_free_mating_duration_adult;14
14;genetics_gain_for_milk;0.06
15;mortality_rate;0.2
16;male_effect_duration;14
17;to_portee_3;0.1
18;ewes_AI_rate;1.0
19;ewelambs_AI_rate;1.0
20;synchronization_rate_youngs;0.97
21;probaAIsuccess_youngs;0.8
22;number_of_milk_monitoring;4
23;AI_detection rate;1.0
24;EffPDI;0.58
25;besoin_ugb;12.5
26;ugb_animal;0.17
27;genetic_gain_TB;0.17
28;genetic_gain_TP;0.14
29;to_ing_hour_grazed;0.4
30;adult_batch;295
31;youn_renew_batch;110
32;work_hour_for_lambing;3
33;milking_work;15.0
34;fixed_milk_work;42
